日付,室数,人数,宿泊売上,喫食数
2019/6/1,380,506,2129091,198
2019/6/2,220,278,795595,90
2019/6/3,298,369,1064624,171
2019/6/4,297,349,1099166,151
2019/6/5,363,441,1406387,245
2019/6/6,401,466,1587604,202
2019/6/7,390,477,1640610,231
2019/6/8,388,482,2297738,175
2019/6/9,241,293,927288,108
2019/6/10,238,300,893676,139
2019/6/11,252,296,927767,120
2019/6/12,314,387,1294713,226
2019/6/13,382,444,1575414,241
2019/6/14,362,432,1477906,211
2019/6/15,369,479,2205421,150
2019/6/16,252,324,1007623,150
2019/6/17,402,589,1047572,175
2019/6/18,312,375,1211537,217
2019/6/19,372,446,1468794,301
2019/6/20,402,493,1668504,310
2019/6/21,324,400,1545996,145
2019/6/22,401,521,2784293,191
2019/6/23,238,288,1093693,109
2019/6/24,295,352,1330982,175
2019/6/25,297,358,1411262,140
2019/6/26,330,414,1589741,222
2019/6/27,338,412,1607086,190
2019/6/28,305,382,1528454,108
2019/6/29,340,425,2088708,122
2019/6/30,187,221,875103,61
2019/7/1,129,143,443443,52
2019/7/2,214,269,829245,131
2019/7/3,289,353,1150001,197
2019/7/4,347,422,1420236,256
2019/7/5,335,437,1638732,190
2019/7/6,398,524,2935280,176
2019/7/7,246,327,1011730,149
2019/7/8,214,278,851534,126
2019/7/9,246,300,1009055,170
2019/7/10,248,287,982812,154
2019/7/11,324,363,1279267,203
2019/7/12,349,419,1549736,194
2019/7/13,428,572,3242939,210
2019/7/14,374,526,2405838,215
2019/7/15,226,306,964635,176
2019/7/16,198,244,755448,123
2019/7/17,317,385,1294327,250
2019/7/18,304,356,1351851,219
2019/7/19,407,480,1745527,401
2019/7/20,419,544,2613123,249
2019/7/21,171,232,789559,144
2019/7/22,228,309,1027233,214
2019/7/23,263,325,1146744,176
2019/7/24,324,416,1477443,246
2019/7/25,416,513,1828731,299
2019/7/26,365,456,1652482,276
2019/7/27,431,577,2832631,226
2019/7/28,219,320,1084222,149
2019/7/29,230,317,977618,164
2019/7/30,224,294,937416,144
2019/7/31,243,308,1047548,188
2019/8/1,279,341,1226992,201
2019/8/2,360,467,1660471,245
2019/8/3,397,530,2426914,272
