年,月,室数,人数,宿泊売上,朝食売上,料飲その他売上,その他売上,総合計,喫食数
2025,6,4100,6118,49610000,5876640,1560000,480000,57526640,2968
2025,7,4200,5880,53760000,4773780,870000,480000,59883780,2411
2025,8,4250,6777,57375000,6373620,1390000,480000,65618620,3219
2025,9,4210,5968,52204000,5601420,980000,480000,59265420,2829
2025,10,4300,6183,52460000,5508360,1350000,480000,59798360,2782
2025,11,4200,6100,39060000,5797440,1300000,480000,46637440,2928
2025,12,4300,5957,39646000,5189580,2170000,480000,47485580,2621
2026,1,3760,5166,31960000,4704480,1280000,480000,38424480,2376
2026,2,3890,5563,33181700,5231160,870000,480000,39762860,2642
2026,3,4390,6705,40827000,6213240,980000,480000,48500240,3138
2026,4,4150,5915,38180000,5504400,1550000,480000,45714400,2780
2026,5,4320,5877,39312000,5399460,1190000,480000,46381460,2727
