年,月,室数,人数,宿泊売上,朝食売上,料飲その他売上,その他売上,総合計,喫食数
2025,6,4630,8414,53708000,8164000,80000,800000,62752000,4082
2025,7,4700,8650,60160000,9186000,80000,800000,70226000,4593
2025,8,4700,8800,64390000,9784000,90000,830000,75094000,4892
2025,9,4750,8600,59707500,9500000,90000,830000,70127500,4750
2025,10,4830,8674,62307000,9166000,110000,820000,72403000,4583
2025,11,4550,8300,52325000,9228000,90000,820000,62463000,4614
2025,12,4550,8300,51870000,8700000,110000,800000,61480000,4350
2026,1,4230,7705,45895500,7856000,110000,800000,54661500,3928
2026,2,4080,7455,44064000,6950000,90000,810000,51914000,3475
2026,3,4750,8950,56287500,8500000,110000,820000,65717500,4250
2026,4,4600,8300,53360000,7500000,90000,820000,61770000,3750
2026,5,4650,8450,53475000,8000000,90000,820000,62385000,4000
